"line","n()"
2,27
3,2
4,3
5,5
6,2
7,27
8,9
9,1
10,1
11,8
12,15
13,8
14,6
15,30
17,12
18,17
19,2
20,2
22,57
23,6
24,38
25,2
26,19
27,4
28,1
29,34
30,11
31,17
32,17
33,4
34,3
35,1
36,1
37,5
38,7
39,63
40,3
41,30
42,1
44,4
45,11
46,20
48,7
49,4
50,4
51,2
52,73
53,4
54,27
55,7
56,5
57,2
58,10
59,12
60,6
61,79
62,32
63,18
64,3
65,154
66,2
67,3
68,41
69,35
70,3
71,38
72,6
74,3
75,8
76,1
77,29
78,6
79,1
80,19
81,37
82,4
83,100
84,2
85,3
86,40
87,6
88,1
89,3
90,2
91,5
92,8
93,51
94,8
96,20
97,39
98,58
99,13
101,10
102,2
103,1
104,6
105,23
106,1
108,14
110,2
111,1
112,3
113,16
114,24
115,18
116,3
117,6
118,2
119,18
120,3
121,4
122,30
123,9
124,2
125,15
126,6
127,93
128,1
129,5
130,19
131,3
132,79
134,30
135,3
136,2
137,2
138,19
139,15
140,23
141,1
142,2
144,6
145,29
146,9
147,6
148,54
149,5
150,3
151,2
152,7
153,30
154,4
155,1
156,6
158,9
159,5
160,1
162,4
163,19
164,18
165,65
167,1
168,8
169,3
170,3
171,2
172,14
173,99
174,15
175,10
176,9
177,15
178,10
179,88
180,5
181,45
182,40
183,4
184,102
185,103
186,105
187,3
188,17
189,1
190,95
191,5
192,16
193,1
195,104
196,5
197,13
198,5
199,84
200,4
201,7
203,10
204,3
205,3
206,31
207,32
208,12
209,22
210,6
211,279
212,33
213,7
214,164
215,4
216,1
217,41
218,5
219,74
220,6
221,14
222,28
223,12
224,5
225,44
227,6
228,16
229,14
230,17
231,5
232,1
233,1
234,10
235,3
236,3
237,6
238,5
239,2
240,34
241,7
242,2
243,13
244,6
245,5
246,4
247,3
248,78
249,10
250,27
251,14
252,6
253,4
254,3
255,6
256,3
257,43
258,15
259,34
260,14
262,1
263,5
264,6
265,8
266,9
267,1
268,1
269,18
270,7
271,2
272,1
273,10
274,5
275,10
276,22
277,22
278,12
279,2
280,25
281,15
282,26
283,9
284,11
285,1
286,73
287,12
288,11
289,21
290,1
291,9
292,44
293,1
294,13
295,20
296,4
297,5
298,4
299,5
300,10
301,3
302,1
303,22
304,20
305,37
306,34
307,6
308,7
309,27
310,35
311,54
312,17
313,33
314,12
315,2
316,4
317,8
318,37
319,9
320,8
321,29
322,8
323,2
324,2
325,12
326,4
327,4
328,3
329,2
330,11
331,30
332,6
333,42
334,3
335,4
336,10
337,26
338,5
339,2
341,5
342,14
343,16
344,6
345,36
346,30
347,8
348,62
349,38
350,17
351,20
352,2
354,9
355,108
356,1
357,1
358,14
359,24
360,2
361,29
362,22
363,2
364,10
365,7
367,28
368,3
369,3
370,32
371,25
372,24
373,4
374,10
376,11
377,1
378,30
379,29
380,4
381,1
382,9
383,2
384,1
385,8
386,7
387,4
388,6
389,4
390,5
391,9
392,171
393,1
394,3
395,8
396,2
397,1
398,1
399,7
400,18
401,15
403,3
404,4
405,5
406,23
407,10
408,6
409,9
410,21
412,4
413,108
414,5
415,5
416,4
417,15
418,5
419,6
420,4
421,7
422,1
423,14
424,7
425,7
426,4
427,6
429,14
430,1
432,8
433,1
434,8
435,3
436,2
438,41
439,1
441,21
442,4
443,14
444,35
445,2
446,14
447,129
449,143
450,6
451,1
453,4
454,2
455,16
456,3
457,1
458,15
459,18
460,105
462,42
463,9
464,6
465,6
466,22
467,3
468,11
469,13
470,1
471,3
472,2
473,1
474,11
475,15
476,4
477,6
478,13
479,5
480,2
481,176
482,3
483,23
484,5
485,28
486,4
487,1
488,2
489,2
490,8
492,1
493,6
494,46
495,9
496,3
497,5
498,7
499,22
500,1
501,25
502,16
503,3
504,13
505,57
507,13
508,7
509,2
510,16
511,21
512,27
513,11
514,3
515,7
516,14
517,18
518,33
519,45
520,2
521,8
522,20
525,5
526,7
527,6
528,28
529,4
530,1
531,2
532,2
533,3
534,7
535,2
536,5
537,6
538,5
539,9
540,1
541,10
543,8
544,8
545,187
546,2
547,15
548,4
549,1
550,5
551,7
552,1
553,28
554,5
555,7
556,3
557,9
559,24
560,7
561,10
562,5
563,5
564,11
565,5
566,57
