"line","word"
2,"dries"
2,"hair"
2,"faster"
2,"bigger"
2,"powerful"
2,"models"
2,"love"
2,"travel"
2,"blow"
2,"dryers"
2,"easy"
2,"lift"
2,"1600"
2,"bigger"
2,"dryers"
2,"heavy"
2,"blow"
2,"hair"
2,"surprising"
2,"amount"
2,"power"
2,"compact"
2,"switch"
2,"easy"
2,"hand"
2,"noisier"
2,"anticipated"
3,"love"
3,"dryer"
4,"styling"
4,"hair"
4,"style"
5,"week"
5,"think's"
5,"cord"
5,"length"
5,"perfect"
6,"excellent"
6,"dryer"
7,"extremely"
7,"hot"
7,"burned"
7,"hand"
7,"metal"
7,"grate"
7,"plastic"
7,"body"
7,"counter"
7,"hot"
7,"melted"
7,"2"
7,"combs"
7,"starts"
7,"smoke"
7,"hair"
7,"requires"
7,"heat"
7,"dry"
7,"completely"
7,"frizzy"
7,"unsafe"
7,"ridiculous"
7,"model"
7,"arrives"
7,"brand"
7,"trash"
8,"found"
8,"plug"
8,"left"
8,"opposite"
8,"plug"
8,"upside"
8,"charging"
8,"flaw"
8,"noise"
9,"perfect"
10,"hairdryer"
11,"tho"
11,"super"
11,"sale"
11,"love"
11,"cuts"
11,"drying"
11,"time"
11,"half"
12,"reckon"
12,"7"
12,"months"
12,"5"
12,"days"
12,"week"
12,"blows"
12,"hot"
12,"air"
12,"doesnt"
12,"overheat"
12,"isnt"
12,"quick"
12,"didnt"
12,"cost"
13,"styling"
13,"tip"
13,"stay"
13,"falling"
13,"middle"
13,"blow"
13,"drying"
13,"hot"
14,"nice"
14,"hair"
14,"dryer"
14,"dual"
14,"voltage"
14,"handy"
15,"product"
15,"30"
15,"40"
15,"mins"
15,"blow"
15,"dry"
15,"clients"
15,"hair"
15,"blow"
15,"drier"
15,"cut"
15,"time"
15,"half"
15,"lots"
15,"power"
15,"deal"
15,"super"
15,"cute"
15,"update"
15,"7"
15,"8"
15,"months"
15,"blows"
15,"cold"
15,"air"
15,"recommend"
15,"drier"
15,"price"
15,"selling"
15,"rubbish"
17,"quiet"
17,"bought"
17,"replace"
17,"girlfriend's"
17,"stupid"
17,"loud"
17,"blow"
17,"dryer"
17,"woke"
17,"morning"
17,"easier"
17,"ears"
18,"dryer"
18,"nice"
18,"attachments"
18,"light"
18,"powerful"
18,"drawback"
18,"switches"
18,"hand"
18,"mousse"
18,"oil"
18,"forget"
18,"struggle"
18,"switches"
18,"grip"
18,"heavy"
18,"grooves"
18,"easy"
19,"live"
19,"hairdryer"
20,"perfect"
20,"travel"
22,"blow"
22,"dryer"
22,"finally"
22,"started"
22,"smoking"
22,"sparking"
22,"bad"
22,"caught"
22,"fire"
22,"6months"
22,"noticed"
22,"1st"
22,"smells"
22,"hot"
22,"air"
22,"flow"
22,"low"
22,"fiddling"
22,"heat"
22,"controls"
22,"cool"
22,"button"
22,"gradually"
22,"begin"
22,"blow"
22,"normal"
22,"flow"
22,"cheaper"
22,"blow"
22,"dryers"
22,"past"
22,"minimum"
22,"3"
22,"5"
22,"yrs"
22,"i'ts"
22,"weekend"
22,"andis"
22,"closed"
22,"attempt"
22,"contact"
22,"refund"
22,"repair"
22,"replace"
22,"unit"
22,"note"
22,"website"
22,"half"
22,"blow"
22,"dryers"
22,"discontinued"
22,"hmm"
22,"update"
22,"review"
22,"hear"
22,"hear"
22,"company"
23,"handy"
23,"frees"
23,"counter"
23,"top"
23,"space"
23,"bathroom"
24,"blowdryer"
24,"8"
24,"10years"
24,"decided"
24,"upgrade"
24,"thick"
24,"thick"
24,"moderately"
24,"wavy"
24,"shoulder"
24,"length"
24,"hair"
24,"due"
24,"hair"
24,"thickness"
24,"drying"
24,"times"
24,"typically"
24,"30"
24,"45minutes"
24,"joking"
24,"dryer"
24,"dries"
24,"completely"
24,"15"
24,"minutes"
24,"10"
24,"12minutes"
24,"precisely"
24,"thrilled"
24,"dryer"
24,"texture"
24,"dryer"
24,"love"
24,"speed"
24,"drying"
24,"cord"
24,"score"
25,"medium"
25,"setting"
26,"blowdry"
26,"hair"
26,"3"
26,"times"
26,"week"
26,"cheap"
26,"bulky"
26,"job"
26,"dryer"
26,"job"
26,"lot"
26,"lighter"
26,"ergonomic"
26,"dries"
26,"thick"
26,"hair"
26,"quick"
26,"purchase"
26,"lasts"
27,"love"
27,"curls"
27,"nice"
27,"frizzes"
28,"bonnet"
29,"nice"
29,"hair"
29,"dryer"
29,"remington"
29,"handle"
29,"controls"
29,"ergonomic"
29,"head"
29,"balanced"
29,"chore"
29,"handling"
29,"heat"
29,"settings"
29,"expect"
29,"dryer"
29,"job"
29,"hair"
29,"dry"
29,"fast"
29,"static"
29,"buildup"
29,"dryer"
29,"generous"
29,"cord"
29,"length"
29,"ability"
29,"hand"
29,"dryer"
29,"hook"
29,"attachments"
29,"fit"
29,"diffuser"
29,"attachment"
29,"handiest"
30,"blowdryer"
30,"job"
30,"dislike"
30,"compatible"
30,"universal"
30,"comb"
30,"attachments"
30,"blowdry"
30,"hair"
30,"attachment"
30,"falling"
31,"amazing"
31,"amount"
31,"air"
31,"wife"
31,"love"
31,"waiting"
31,"time"
31,"cut"
31,"half"
31,"highly"
31,"recommended"
31,"feels"
31,"solid"
31,"money's"
31,"worth"
31,"nice"
31,"cord"
32,"excellent"
32,"hair"
32,"dryer"
32,"noisy"
32,"controls"
32,"handle"
32,"contoured"
32,"nit"
32,"plastic"
32,"attachment"
32,"directs"
32,"stream"
32,"warm"
32,"hot"
32,"air"
32,"pops"
32,"easily"
33,"item"
33,"perfectly"
33,"fine"
33,"glad"
34,"hard"
34,"blowdryer"
34,"happy"
35,"perfect"
36,"dryer"
37,"photo"
37,"light"
37,"weight"
37,"charm"
37,"recommend"
38,"strong"
38,"dryer"
38,"travel"
38,"dual"
38,"voltage"
38,"glad"
38,"bought"
39,"original"
39,"conair"
39,"1875"
39,"makeovers"
39,"upgrades"
39,"yield"
39,"results"
39,"instance"
39,"1875"
39,"replica"
39,"lacks"
39,"basic"
39,"functions"
39,"blow"
39,"dryer"
39,"temperature"
39,"adjustment"
39,"setting"
39,"low"
39,"fan"
39,"speed"
39,"air"
39,"feature"
39,"heat"
39,"cooling"
39,"button"
39,"pressed"
39,"held"
39,"basic"
39,"function"
39,"person's"
39,"fingers"
39,"tired"
39,"holding"
39,"button"
39,"sliding"
39,"switch"
39,"retracted"
39,"cord"
39,"missing"
39,"valuable"
39,"feature"
39,"original"
39,"conair"
39,"1875"
39,"dryer"
39,"portable"
39,"traveling"
39,"1875"
39,"cord"
39,"sprawled"
39,"bathroom"
39,"counter"
39,"original"
39,"slightly"
39,"10"
39,"watts"
39,"power"
39,"directional"
39,"air"
39,"controller"
39,"worth"
39,"investment"
40,"easy"
40,"mount"
40,"wall"
41,"2nd"
41,"time"
41,"bought"
41,"hair"
41,"dryer"
41,"finally"
41,"bit"
41,"dust"
41,"3"
41,"lightweight"
41,"suitcase"
41,"powerful"
41,"blow"
41,"dry"
41,"hair"
41,"fast"
41,"short"
41,"hair"
41,"sweet"
41,"dryer"
41,"dry"
41,"style"
41,"hair"
41,"comb"
41,"brush"
41,"frills"
41,"2"
41,"speeds"
41,"low"
41,"fast"
42,"complaints"
44,"dried"
44,"hair"
44,"15"
44,"minutes"
45,"compact"
45,"powerful"
45,"easy"
45,"pack"
45,"travel"
45,"excellent"
45,"price"
45,"blow"
45,"dryers"
45,"price"
45,"satisfied"
46,"powerful"
46,"lots"
46,"fan"
46,"settings"
46,"cold"
46,"air"
46,"button"
46,"retractable"
46,"cord"
46,"folding"
46,"handle"
46,"traveling"
46,"too.great"
46,"product"
46,"blow"
46,"hair"
46,"dry"
46,"blow"
46,"quick"
46,"appointment"
48,"cold"
48,"button"
48,"stuck"
48,"2nd"
48,"replaced"
48,"annoying"
48,"deal"
49,"broke"
49,"time"
49,"piece"
49,"crap"
50,"powerful"
50,"dries"
50,"hair"
50,"quickly"
51,"pink"
51,"expected"
52,"nice"
52,"hair"
52,"blow"
52,"dryer"
52,"color"
52,"lovely"
52,"medium"
52,"shade"
52,"pink"
52,"matte"
52,"tone"
52,"versus"
52,"plastic"
52,"shiny"
52,"dryer"
52,"diffuser"
52,"curly"
52,"hair"
52,"unusual"
52,"type"
52,"soft"
52,"touch"
52,"finish"
52,"feel"
52,"slippery"
52,"fits"
52,"hand"
52,"finish"
52,"fit"
52,"snug"
52,"br"
52,"br"
52,"air"
52,"filter"
52,"removable"
52,"clean"
52,"week"
52,"destroyed"
52,"blow"
52,"dryer"
52,"cleaning"
52,"filter"
52,"overheats"
52,"motor"
52,"kills"
52,"pretty"
52,"quickly"
52,"diffuser"
52,"narrow"
52,"concentrator"
52,"attachment"
52,"heat"
52,"precise"
52,"spot"
52,"heat"
52,"settings"
52,"speeds"
52,"cool"
52,"shot"
52,"button"
52,"air"
52,"cool"
52,"quickly"
52,"styling"
52,"br"
52,"br"
52,"blow"
52,"dryer"
52,"finish"
52,"quieter"
52,"meant"
52,"powerful"
52,"loud"
53,"product"
53,"super"
53,"fast"
53,"delivery"
54,"hair"
54,"dryer"
54,"price"
54,"smells"
54,"burning"
54,"hot"
54,"warm"
54,"low"
54,"fine"
54,"br"
54,"salonsalon"
54,"hair"
54,"dryer"
54,"friends"
54,"house"
54,"fabulous"
54,"costs"
54,"169"
54,"budget"
54,"buy"
54,"sassoon"
54,"tourmaline"
54,"ceramic"
54,"helps"
54,"fly"
54,"aways"
54,"flying"
55,"hair"
55,"dryer"
55,"loads"
55,"power"
55,"feels"
55,"salon"
55,"dryer"
56,"diffuser"
56,"curly"
56,"hair"
56,"frizzy"
56,"messy"
57,"cute"
57,"stylish"
58,"hot"
58,"powerful"
58,"expected"
58,"deliver"
58,"expected"
58,"shining"
58,"produced"
58,"professional"
58,"ceramic"
58,"dryers"
59,"product"
59,"arrived"
59,"box"
59,"cord"
59,"pushed"
59,"box"
59,"looked"
59,"returned"
59,"arrived"
59,"quickly"
59,"easy"
59,"travel"
60,"bad"
60,"dryer"
60,"heavy"
60,"sleek"
60,"burn"
60,"hair"
61,"write"
61,"reviews"
61,"product"
61,"fine"
61,"curly"
61,"hair"
61,"lots"
61,"taking"
61,"25"
61,"minutes"
61,"blow"
61,"dry"
61,"hair"
61,"day"
61,"tired"
61,"hair"
61,"dryer"
61,"affordable"
61,"store"
61,"decided"
61,"expensive"
61,"salon"
61,"that'd"
61,"trick"
61,"splurged"
61,"bought"
61,"buttercup"
61,"dry"
61,"bar"
61,"hair"
61,"dryer"
61,"cut"
61,"drying"
61,"time"
61,"5"
61,"minutes"
61,"honesty"
61,"worth"
61,"200"
61,"john"
61,"frieda"
61,"hair"
61,"dryer"
61,"read"
61,"reviews"
61,"decided"
61,"shot"
61,"affordable"
61,"dry"
61,"bar"
61,"loved"
61,"11"
61,"minutes"
61,"blow"
61,"dry"
61,"mane"
61,"mine"
61,"extra"
61,"shine"
61,"dry"
61,"straightened"
61,"hair"
61,"hair"
61,"dryer"
61,"cut"
61,"flat"
61,"iron"
61,"time"
61,"cons"
61,"buttons"
61,"odd"
61,"location"
61,"weird"
61,"hum"
61,"real"
61,"quick"
61,"bother"
61,"recommend"
61,"product"
62,"giving"
62,"hair"
62,"dryer"
62,"5"
62,"stars"
62,"amazingly"
62,"simple"
62,"br"
62,"frills"
62,"cool"
62,"settings"
62,"low"
62,"cool"
62,"basic"
62,"user"
62,"friendly"
62,"hair"
62,"drying"
62,"action"
62,"br"
62,"lasts"
62,"mine"
62,"7"
62,"day"
62,"br"
62,"favor"
62,"unscrew"
62,"clean"
62,"lint"
62,"filter"
62,"wire"
62,"mesh"
63,"bought"
63,"girl"
63,"buying"
63,"walmart"
63,"bargain"
63,"quieter"
63,"dries"
63,"hair"
63,"faster"
63,"nice"
63,"lightweight"
63,"unit"
63,"ergonomically"
63,"designed"
63,"cleanable"
63,"filter"
63,"nice"
63,"feature"
64,"bang"
64,"buck"
64,"quality"
65,"owned"
65,"3"
65,"4"
65,"blow"
65,"driers"
65,"time"
65,"consistently"
65,"lazy"
65,"harsh"
65,"blow"
65,"drying"
65,"hair"
65,"colored"
65,"mine"
65,"tend"
65,"avoid"
65,"winter"
65,"dry"
65,"hair"
65,"quickly"
65,"waiting"
65,"hair"
65,"dryer"
65,"died"
65,"blaze"
65,"glory"
65,"fizzled"
65,"refused"
65,"popped"
65,"vine"
65,"selection"
65,"selected"
65,"br"
65,"br"
65,"remington"
65,"hair"
65,"dryer"
65,"attachments"
65,"diffuser"
65,"alien"
65,"product"
65,"apparently"
65,"curly"
65,"hair"
65,"funnel"
65,"appendage"
65,"reminds"
65,"airplane"
65,"wind"
65,"tunnel"
65,"curly"
65,"hair"
65,"bother"
65,"diffuser"
65,"included"
65,"valuable"
65,"drawer"
65,"space"
65,"test"
65,"wind"
65,"tunnel"
65,"pretending"
65,"wind"
65,"tunnel"
65,"miniature"
65,"airplanes"
65,"called"
65,"br"
65,"br"
65,"love"
65,"settings"
65,"hair"
65,"dryer"
65,"pretty"
65,"lo"
65,"hot"
65,"cold"
65,"3"
65,"heat"
65,"settings"
65,"2"
65,"speeds"
65,"cold"
65,"blast"
65,"setting"
65,"allowing"
65,"controlled"
65,"drying"
65,"experience"
65,"found"
65,"dried"
65,"thick"
65,"wavy"
65,"hair"
65,"reason"
65,"hate"
65,"drying"
65,"hair"
65,"takes"
65,"30"
65,"minutes"
65,"dry"
65,"quickly"
65,"wind"
65,"tunnel"
65,"helped"
65,"ensure"
65,"nice"
65,"smooth"
65,"straight"
65,"hair"
65,"style"
65,"hair"
65,"br"
65,"br"
65,"impressed"
65,"pleased"
65,"diffuser"
65,"included"
65,"space"
65,"takes"
65,"curly"
