"line","word"
1,"3"
1,"buttons"
1,"stopped"
1,"month"
1,"day"
1,"recommend"
1,"money"
1,"durable"
1,"plates"
1,"fit"
2,"attest"
2,"price"
2,"extremely"
2,"feels"
2,"quality"
2,"build"
2,"nuking"
2,"turkeys"
2,"super"
2,"wattage"
2,"bit"
2,"canned"
2,"soup"
2,"2"
2,"1"
2,"2"
2,"minutes"
2,"3"
3,"nice"
3,"microwave"
3,"price"
4,"quiet"
4,"1000"
4,"watt"
4,"power"
5,"bigger"
6,"love"
6,"microwave"
6,"touch"
6,"settings"
6,"30"
6,"button"
6,"size"
6,"countertop"
6,"noisy"
6,"beeps"
7,"bought"
7,"microwave"
7,"2"
7,"ago"
7,"home"
7,"remodel"
7,"recently"
7,"stopped"
7,"sharp"
7,"warranty"
7,"1"
7,"amount"
7,"money"
7,"spent"
7,"expect"
7,"2"
8,"pleased"
8,"packaging"
8,"easy"
8,"instructions"
8,"set"
8,"worth"
8,"55"
8,"prime"
8,"34"
9,"neat"
9,"unit"
9,"complaints"
10,"finish"
10,"nice"
10,"matches"
10,"stainless"
10,"steel"
10,"black"
10,"wall"
10,"oven"
10,"nicely"
10,"button"
10,"door"
10,"occasionally"
10,"internal"
10,"microwave"
10,"makes"
10,"noise"
10,"tray"
10,"rotating"
11,"excellent"
11,"microwave"
11,"recently"
11,"moved"
11,"apartment"
11,"built"
11,"microwave"
11,"kitchen"
11,"microwave"
11,"perfect"
11,"footprint"
11,"packs"
11,"punch"
11,"plates"
11,"fit"
11,"cooks"
11,"downside"
11,"closing"
11,"door"
11,"microwave"
11,"move"
11,"heaviest"
11,"fault"
11,"simply"
11,"hand"
11,"top"
11,"closing"
13,"love"
13,"microwave"
13,"space"
13,"kitchen"
13,"con"
13,"price"
14,"wife"
14,"insisted"
14,"buy"
14,"microwave"
14,"bought"
14,"contact"
14,"ge"
14,"20"
14,"credit"
14,"worry"
14,"paint"
14,"peeling"
14,"wife"
14,"read"
14,"reviews"
14,"sound"
14,"alittle"
14,"difficult"
15,"microwave"
15,"lg"
15,"microwave"
15,"failed"
15,"2"
15,"weeks"
15,"2"
15,"weeks"
15,"lg"
15,"microwave"
15,"microwave"
15,"lasted"
15,"11"
15,"months"
15,"thanksgiving"
15,"bought"
15,"69.00"
15,"brand"
15,"microwave"
15,"perfectly"
15,"18"
15,"months"
15,"lg"
15,"failed"
15,"18"
15,"months"
15,"lowes"
15,"home"
15,"depot"
15,"replace"
15,"microwave"
15,"reading"
15,"blog"
15,"brand"
15,"microwave"
15,"failed"
15,"lg"
15,"court"
15,"major"
15,"failures"
15,"continued"
15,"producing"
15,"worthless"
15,"piece"
15,"junk"
15,"appears"
15,"bean"
15,"counter"
15,"situation"
15,"cheaper"
15,"machine"
15,"fix"
15,"damage"
15,"recall"
15,"product"
16,"week"
16,"microwaving"
16,"powder"
16,"strong"
16,"grill"
16,"plate"
16,"bulkier"
16,"food"
16,"complain"
17,"microwave"
17,"turntable"
17,"light"
17,"closed"
17,"door"
17,"cook"
17,"microwave"
17,"eventually"
17,"cook"
17,"matter"
17,"unplugging"
17,"sit"
17,"rotating"
17,"heating"
17,"sadly"
17,"send"
17,"grill"
17,"feature"
17,"fun"
18,"funny"
18,"story"
18,"ago"
18,"husband"
18,"found"
18,"cube"
18,"microwaves"
18,"garage"
18,"sale"
18,"25.00"
18,"perfect"
18,"daughter"
18,"extremely"
18,"kitchen"
18,"counter"
18,"space"
18,"recently"
18,"moved"
18,"home"
18,"home"
18,"lots"
18,"charm"
18,"counter"
18,"space"
18,"range"
18,"microwave"
18,"whirlpool"
18,"cube"
18,"fits"
18,"perfectly"
18,"corner"
18,"space"
18,"kitchen"
18,"love"
18,"love"
18,"love"
18,"25.00"
18,"easier"
18,"price"
18,"pocket"
18,"book"
18,"lol"
19,"price"
19,"continued"
19,"december"
19,"2014"
19,"8"
19,"months"
19,"recent"
19,"complaint"
19,"glass"
19,"carousel"
19,"fit"
19,"tightly"
19,"plastic"
19,"gear"
19,"center"
19,"makes"
19,"rattling"
19,"sound"
19,"gear"
19,"loose"
19,"fit"
19,"carousel"
19,"quietly"
19,"br"
19,"br"
19,"buy"
19,"easy"
19,"clean"
19,"love"
19,"1"
19,"2"
19,"3"
19,"settings"
19,"touch"
19,"cooking"
19,"times"
19,"1"
19,"2"
19,"3"
19,"minutes"
19,"microwave"
19,"30"
19,"simply"
19,"touching"
19,"34"
19,"start"
19,"34"
19,"time"
19,"people"
19,"complained"
19,"door"
19,"hard"
19,"34"
19,"34"
19,"button"
19,"pushed"
19,"entire"
19,"microwave"
19,"moves"
19,"experience"
19,"seldom"
19,"programmed"
19,"settings"
19,"vegetables"
19,"popcorn"
19,"potato"
19,"bad"
19,"experience"
19,"burning"
19,"minibag"
19,"popcorn"
19,"microwave"
19,"sense"
19,"stop"
19,"cooking"
19,"fine"
19,"baking"
19,"potato"
19,"br"
19,"br"
19,"understand"
19,"benefit"
19,"extreme"
19,"concave"
19,"interior"
19,"contributes"
19,"1.4"
19,"cu"
19,"ft"
19,"interior"
19,"volume"
19,"size"
19,"buy"
19,"amazon"
19,"purposes"
20,"slides"
20,"door"
20,"product"
20,"size"
20,"perfect"
20,"br"
20,"br"
20,"kitchen"
20,"designed"
20,"push"
20,"microwave"
20,"wall"
20,"microwave"
20,"slide"
21,"solid"
21,"microwave"
21,"price"
22,"microwave"
22,"button"
22,"world"
22,"simple"
22,"timer"
22,"microwave"
22,"timer"
22,"stupid"
22,"microwave"
22,"expensive"
22,"include"
22,"basic"
22,"kitchen"
22,"timer"
23,"prompt"
23,"delivery"
23,"microwave"
23,"running"
24,"attractive"
24,"mircorwave"
25,"5"
25,"holds"
25,"nice"
25,"size"
25,"dish"
25,"love"
25,"controls"
25,"bottom"
25,"counter"
25,"space"
25,"limited"
25,"peer"
25,"dorm"
26,"unit"
26,"lighter"
26,"expected"
26,"cooks"
26,"expected"
26,"door"
26,"latch"
26,"hard"
26,"push"
26,"hard"
26,"move"
26,"unit"
26,"light"
26,"unit"
26,"runs"
26,"door"
26,"buttons"
26,"convenient"
26,"cooking"
26,"read"
26,"directions"
26,"difference"
26,"set"
26,"power"
26,"levels"
26,"microwaves"
26,"owned"
26,"unit"
26,"due"
26,"reviews"
26,"size"
26,"price"
27,"extremly"
27,"satisfied"
28,"sharp"
28,"carousel"
28,"ii"
28,"microwave"
28,"1"
28,"2"
28,"coats"
28,"sand"
28,"prime"
28,"rust"
28,"spots"
29,"purchase"
29,"microwave"
29,"job"
29,"price"
30,"excellent"
30,"results"
31,"product"
31,"describer"
31,"delivered"
31,"promptly"
31,"time"
32,"perfect"
32,"semi"
32,"truck"
32,"750"
32,"watts"
32,"run"
32,"on1000"
32,"watt"
32,"inverter"
33,"received"
33,"mine"
33,"running"
33,"interior"
33,"light"
33,"shinning"
33,"gap"
33,"top"
33,"corner"
33,"normal"
33,"safe"
33,"submitted"
33,"question"
33,"3"
33,"star"
33,"review"
33,"slightly"
33,"annoying"
33,"bang"
33,"door"
33,"makes"
33,"closes"
33,"pending"
33,"heating"
33,"answer"
33,"question"
33,"update"
33,"attaching"
33,"pictures"
33,"gap"
33,"br"
33,"br"
33,"update"
33,"9"
33,"26"
33,"2015"
33,"gap"
33,"normal"
33,"feature"
33,"affect"
33,"operation"
33,"microwave"
33,"oven"
33,"heating"
33,"leftovers"
33,"purpose"
33,"cooking"
33,"loud"
33,"door"
33,"tolerable"
33,"barely"
33,"noticeable"
33,"updating"
33,"review"
33,"4"
33,"stars"
33,"gap"
34,"proper"
34,"preparation"
35,"giving"
35,"3"
35,"stars"
35,"message"
35,"page"
35,"rate"
35,"product"
35,"attempt"
35,"rate"
35,"product"
35,"receiving"
35,"sharp"
35,"model"
35,"410lw"
35,"listed"
35,"sharps"
35,"pages"
35,"repair"
35,"oem"
35,"guessing"
35,"34"
35,"rmotda252wrzz"
35,"34"
35,"burned"
35,"sharp"
35,"motor"
35,"34"
35,"rmotda264wrzz"
35,"34"
35,"thinking"
35,"rpm"
35,"3"
35,"60hz"
35,"120"
35,"2w"
35,"losing"
35,"money"
35,"36.00"
35,"stupid"
36,"boat"
36,"rebuilding"
36,"real"
36,"fits"
36,"perfect"
36,"time"
36,"terry"
38,"hurry"
38,"teen"
38,"bought"
38,"pretty"
38,"powerful"
38,"brands"
38,"machine"
39,"unit"
39,"fiddling"
39,"install"
39,"unit"
39,"nice"
40,"found"
40,"blue"
40,"cube"
40,"micro"
40,"wave"
40,"ago"
40,"16"
40,"service"
40,"finally"
40,"wore"
40,"love"
40,"cube"
40,"shape"
40,"risk"
40,"gem"
40,"happier"
40,"size"
40,"fabulous"
40,"power"
40,"microwave"
40,"hesitate"
40,"purchase"
40,"totally"
40,"worth"
40,"price"
41,"love"
41,"lg"
41,"products"
41,"product"
41,"timely"
41,"manner"
42,"purposes"
42,"size"
