HR,emotion_total,emotion_polarity,rating,time_difference,vine,verified_purchase,CLI,group
,3,3,5,4552,0,1,,1
,7,7,4,4552,0,1,94.38814815,1
0,0,0,5,4552,0,1,54.26,1
,0,0,5,4552,0,1,105.6533333,1
,6,6,4,4552,0,0,90,1
,0,0,5,4552,0,1,107.38,1
,3,-3,1,4552,0,0,88.50814815,1
1,1,1,3,4552,0,1,72.28888889,1
,0,0,5,4552,0,1,65.52,1
0,2,2,5,4552,0,1,195.68,1
,3,3,5,4553,0,0,67.915,1
1,6,6,5,4553,0,1,78.25333333,1
,1,-1,3,4553,0,1,79.675,1
,0,0,4,4553,0,1,91.96666667,1
1,8,6,2,4553,0,1,88.07333333,1
,0,0,5,4553,0,1,,1
0,2,-2,5,4553,0,1,111.5833333,1
0,16,8,4,4553,0,1,99.34352941,1
,0,0,5,4554,0,1,68.86,1
,0,0,5,4554,0,1,131.1,1
,2,2,5,4554,0,1,,1
,6,-4,1,4554,0,1,103.8596491,1
,5,5,5,4554,0,1,53.44666667,1
,14,14,5,4554,0,1,93.12947368,1
,4,4,5,4554,0,1,-16.9,1
,5,5,5,4554,0,1,88.78105263,1
,3,3,5,4554,0,1,79.55,1
,0,0,2,4554,0,1,183.92,1
,13,13,5,4555,1,0,99.37294118,1
,3,-3,3,4555,0,1,95.82909091,1
,15,13,5,4555,0,1,99.34352941,1
,5,3,4,4555,0,1,88.24,1
,8,8,5,4555,0,1,83.91,1
,4,2,5,4555,0,1,113.4266667,1
,0,0,5,4555,0,1,160.2,1
,0,0,5,4555,0,1,178.04,1
,7,7,5,4556,0,1,107.64,1
,2,2,5,4556,0,1,84.94285714,1
0.973684211,20,10,3,4556,0,1,93.94730159,1
,1,1,5,4556,0,1,-28.49333333,1
1,8,4,5,4556,0,1,99.83333333,1
,0,0,5,4556,0,1,59.44,1
,3,3,1,4556,0,1,,1
0,3,3,5,4556,0,1,101.75,1
,6,6,5,4556,0,0,92.14181818,1
,8,8,5,4556,0,1,97.35,1
,3,3,3,4557,0,1,,1
,4,-4,1,4557,0,1,95.05142857,1
,4,-4,1,4557,0,1,75.19,1
,2,2,5,4557,0,1,107.63,1
,0,0,3,4557,0,1,122.18,1
,22,10,5,4557,1,0,85.04328767,1
,0,0,5,4557,0,1,11.43,1
,14,14,4,4557,0,1,94.38814815,1
,5,5,5,4557,0,1,56.26857143,1
1,0,0,2,4557,0,1,95.84,1
,0,0,5,4557,0,1,131.1,1
,4,4,3,4557,0,1,113.54,1
,1,1,2,4557,0,1,88.06333333,1
,3,-3,4,4558,0,1,60.47333333,1
,29,9,5,4558,0,0,77.00962025,1
,10,8,5,4558,0,0,76.72875,1
,5,5,5,4558,0,1,109.2688889,1
,3,3,5,4558,0,1,81.93333333,1
1,58,22,3,4558,1,0,32.04051948,1
,2,2,4,4558,0,1,-197.34,1
,0,0,1,4558,0,1,117.4133333,1
1,15,5,4,4559,0,1,98.78341463,1
1,11,11,4,4559,0,1,108.4971429,1
0,0,0,5,4559,0,1,101.4666667,1
,5,5,5,4559,0,1,110.7694737,1
,3,3,5,4559,0,1,66.35333333,1
,3,3,4,4559,0,1,,1
1,5,5,2,4559,0,1,105.6533333,1
,0,0,3,4559,0,1,87.075,1
,0,0,4,4559,0,1,171.96,1
0.8125,5,5,5,4559,0,1,99.96827586,1
,4,4,5,4560,0,1,83.04666667,1
,0,0,5,4560,0,1,154.32,1
,2,2,3,4560,0,1,84.45894737,1
0.5,7,7,1,4560,0,0,96.69297297,1
,0,0,5,4560,0,1,82.39,1
,19,-9,5,4560,1,0,61.4612,1
,0,0,3,4560,0,1,-17.1,1
,7,7,5,4560,0,1,117.4133333,1
0,13,11,5,4560,0,1,97.375,1
,0,0,4,4560,0,1,74.12666667,1
,0,0,5,4561,0,1,154.12,1
,0,0,4,4561,0,1,99.77333333,1
,0,0,5,4561,0,1,125.22,1
,2,2,5,4561,0,1,89.88,1
,1,-1,3,4561,0,1,86.215,1
1,16,10,5,4561,0,1,97.64156863,1
1,2,2,1,4561,0,1,67.715,1
,0,0,5,4561,0,1,,1
