HR,info,emotion_total,emotion_polarity,rating,time_difference,vine,verified_purchase
,1.0836777,3,3,5,4552,0,1
,0.285039269,7,7,4,4552,0,1
0,0.266520933,0,0,5,4552,0,1
,0.098249258,0,0,5,4552,0,1
,0.231069488,6,6,4,4552,0,0
,0.601666734,0,0,5,4552,0,1
,0.061808939,3,-3,1,4552,0,0
1,0.022211445,1,1,3,4552,0,1
,0.037038021,0,0,5,4552,0,1
0,0.20652473,2,2,5,4552,0,1
,0.199033013,3,3,5,4553,0,0
1,0.172314522,6,6,5,4553,0,1
,0.515087538,1,-1,3,4553,0,1
,0.870201614,0,0,4,4553,0,1
1,0,8,6,2,4553,0,1
,0.397559322,0,0,5,4553,0,1
0,0.435124898,2,-2,5,4553,0,1
0,0.041312447,16,8,4,4553,0,1
,0.048842049,0,0,5,4554,0,1
,0,0,0,5,4554,0,1
,1.033311027,2,2,5,4554,0,1
,0.048831978,6,-4,1,4554,0,1
,1.600545277,5,5,5,4554,0,1
,0.050584622,14,14,5,4554,0,1
,0.954324415,4,4,5,4554,0,1
,0.110032027,5,5,5,4554,0,1
,0.008928772,3,3,5,4554,0,1
,1.798334468,0,0,2,4554,0,1
,0.319012509,13,13,5,4555,1,0
,0.383534173,3,-3,3,4555,0,1
,0.655555496,15,13,5,4555,0,1
,0.056897962,5,3,4,4555,0,1
,0.045615967,8,8,5,4555,0,1
,0.022211445,4,2,5,4555,0,1
,0.216110255,0,0,5,4555,0,1
,0.094741814,0,0,5,4555,0,1
,0.330015039,7,7,5,4556,0,1
,1.205973771,2,2,5,4556,0,1
0.973684211,0.067253737,20,10,3,4556,0,1
,1.994073617,1,1,5,4556,0,1
1,0.005563958,8,4,5,4556,0,1
,0,0,0,5,4556,0,1
,0.288741695,3,3,1,4556,0,1
0,0.332109418,3,3,5,4556,0,1
,0.785788342,6,6,5,4556,0,0
,0,8,8,5,4556,0,1
,0.06466879,3,3,3,4557,0,1
,0.07942789,4,-4,1,4557,0,1
,0.344505226,4,-4,1,4557,0,1
,0.018355914,2,2,5,4557,0,1
,2.769989629,0,0,3,4557,0,1
,0.111729819,22,10,5,4557,1,0
,1.276532209,0,0,5,4557,0,1
,0.731892226,14,14,4,4557,0,1
,0.293892454,5,5,5,4557,0,1
1,0.006260822,0,0,2,4557,0,1
,0.175770368,0,0,5,4557,0,1
,0.261826035,4,4,3,4557,0,1
,0.506548526,1,1,2,4557,0,1
,3.837568536,3,-3,4,4558,0,1
,1.30772704,29,9,5,4558,0,0
,0.493349214,10,8,5,4558,0,0
,0.023189763,5,5,5,4558,0,1
,6.820278133,3,3,5,4558,0,1
1,0.112350457,58,22,3,4558,1,0
,0.028234393,2,2,4,4558,0,1
,1.805368146,0,0,1,4558,0,1
1,1.341205773,15,5,4,4559,0,1
1,0.2559804,11,11,4,4559,0,1
0,1.12237208,0,0,5,4559,0,1
,0.770800284,5,5,5,4559,0,1
,0,3,3,5,4559,0,1
,0.072228703,3,3,4,4559,0,1
1,0.832106446,5,5,2,4559,0,1
,0.011721397,0,0,3,4559,0,1
,0.980111134,0,0,4,4559,0,1
0.8125,0.167823252,5,5,5,4559,0,1
,0.019954656,4,4,5,4560,0,1
,1.2158799,0,0,5,4560,0,1
,0.807718172,2,2,3,4560,0,1
0.5,0.36573632,7,7,1,4560,0,0
,5.499487615,0,0,5,4560,0,1
,0.014608117,19,-9,5,4560,1,0
,0.096741861,0,0,3,4560,0,1
,1.473641685,7,7,5,4560,0,1
0,0.307617496,13,11,5,4560,0,1
,0.004410621,0,0,4,4560,0,1
,0.336488959,0,0,5,4561,0,1
