,HR,emotion_total,emotion_polarity,rating,time_difference,vine,verified_purchase,CLI,group
0,,3,3,5,4552,0,1,,1
1,,7,7,4,4552,0,1,94.38814815,1
2,0.0,0,0,5,4552,0,1,54.26,1
3,,0,0,5,4552,0,1,105.65333329999999,1
4,,6,6,4,4552,0,0,90.0,1
5,,0,0,5,4552,0,1,107.38,1
6,,3,-3,1,4552,0,0,88.50814815,1
7,1.0,1,1,3,4552,0,1,72.28888889,1
8,,0,0,5,4552,0,1,65.52,1
9,0.0,2,2,5,4552,0,1,195.68,1
10,,3,3,5,4553,0,0,67.915,1
11,1.0,6,6,5,4553,0,1,78.25333333,1
12,,1,-1,3,4553,0,1,79.675,1
13,,0,0,4,4553,0,1,91.96666667,1
14,1.0,8,6,2,4553,0,1,88.07333333,1
15,,0,0,5,4553,0,1,,1
16,0.0,2,-2,5,4553,0,1,111.58333329999999,1
17,0.0,16,8,4,4553,0,1,99.34352941,1
18,,0,0,5,4554,0,1,68.86,1
19,,0,0,5,4554,0,1,131.1,1
20,,2,2,5,4554,0,1,,1
21,,6,-4,1,4554,0,1,103.8596491,1
22,,5,5,5,4554,0,1,53.44666667,1
23,,14,14,5,4554,0,1,93.12947368,1
24,,4,4,5,4554,0,1,-16.9,1
25,,5,5,5,4554,0,1,88.78105263,1
26,,3,3,5,4554,0,1,79.55,1
27,,0,0,2,4554,0,1,183.92,1
28,,13,13,5,4555,1,0,99.37294118,1
29,,3,-3,3,4555,0,1,95.82909091,1
30,,15,13,5,4555,0,1,99.34352941,1
31,,5,3,4,4555,0,1,88.24,1
32,,8,8,5,4555,0,1,83.91,1
33,,4,2,5,4555,0,1,113.42666670000001,1
34,,0,0,5,4555,0,1,160.2,1
35,,0,0,5,4555,0,1,178.04,1
36,,7,7,5,4556,0,1,107.64,1
37,,2,2,5,4556,0,1,84.94285714,1
38,0.9736842109999999,20,10,3,4556,0,1,93.94730159,1
39,,1,1,5,4556,0,1,-28.49333333,1
40,1.0,8,4,5,4556,0,1,99.83333333,1
41,,0,0,5,4556,0,1,59.44,1
42,,3,3,1,4556,0,1,,1
43,0.0,3,3,5,4556,0,1,101.75,1
44,,6,6,5,4556,0,0,92.14181818,1
45,,8,8,5,4556,0,1,97.35,1
46,,3,3,3,4557,0,1,,1
47,,4,-4,1,4557,0,1,95.05142857,1
48,,4,-4,1,4557,0,1,75.19,1
49,,2,2,5,4557,0,1,107.63,1
50,,0,0,3,4557,0,1,122.18,1
51,,22,10,5,4557,1,0,85.04328767,1
52,,0,0,5,4557,0,1,11.43,1
53,,14,14,4,4557,0,1,94.38814815,1
54,,5,5,5,4557,0,1,56.26857143,1
55,1.0,0,0,2,4557,0,1,95.84,1
56,,0,0,5,4557,0,1,131.1,1
57,,4,4,3,4557,0,1,113.54,1
58,,1,1,2,4557,0,1,88.06333333,1
59,,3,-3,4,4558,0,1,60.47333333,1
60,,29,9,5,4558,0,0,77.00962025,1
61,,10,8,5,4558,0,0,76.72875,1
62,,5,5,5,4558,0,1,109.2688889,1
63,,3,3,5,4558,0,1,81.93333333,1
64,1.0,58,22,3,4558,1,0,32.04051948,1
65,,2,2,4,4558,0,1,-197.34,1
66,,0,0,1,4558,0,1,117.41333329999999,1
67,1.0,15,5,4,4559,0,1,98.78341463,1
68,1.0,11,11,4,4559,0,1,108.4971429,1
69,0.0,0,0,5,4559,0,1,101.4666667,1
70,,5,5,5,4559,0,1,110.76947369999999,1
71,,3,3,5,4559,0,1,66.35333333,1
72,,3,3,4,4559,0,1,,1
73,1.0,5,5,2,4559,0,1,105.65333329999999,1
74,,0,0,3,4559,0,1,87.075,1
75,,0,0,4,4559,0,1,171.96,1
76,0.8125,5,5,5,4559,0,1,99.96827586,1
77,,4,4,5,4560,0,1,83.04666667,1
78,,0,0,5,4560,0,1,154.32,1
79,,2,2,3,4560,0,1,84.45894737,1
80,0.5,7,7,1,4560,0,0,96.69297297,1
81,,0,0,5,4560,0,1,82.39,1
82,,19,-9,5,4560,1,0,61.4612,1
83,,0,0,3,4560,0,1,-17.1,1
84,,7,7,5,4560,0,1,117.41333329999999,1
85,0.0,13,11,5,4560,0,1,97.375,1
86,,0,0,4,4560,0,1,74.12666667,1
87,,0,0,5,4561,0,1,154.12,1
88,,0,0,4,4561,0,1,99.77333333,1
89,,0,0,5,4561,0,1,125.22,1
90,,2,2,5,4561,0,1,89.88,1
91,,1,-1,3,4561,0,1,86.215,1
92,1.0,16,10,5,4561,0,1,97.64156863,1
93,1.0,2,2,1,4561,0,1,67.715,1
94,,0,0,5,4561,0,1,,1
95,0.0,14,4,5,4561,0,1,107.67,1
96,,9,7,5,4561,1,0,95.89435897,1
97,,18,0,3,4561,0,1,107.66275859999999,1
98,1.0,13,13,5,4561,0,1,75.35076923,1
99,,3,3,5,4561,0,1,,1
100,,5,3,1,4561,0,1,84.14,1
101,,0,0,5,4562,0,1,107.38,1
102,,3,3,4,4562,0,1,189.8,1
103,,0,0,2,4562,0,1,97.84666667,1
104,1.0,1,-1,1,4562,0,1,112.78434779999999,1
105,0.0,6,6,5,4562,0,1,30.04,1
106,,0,0,5,4562,0,1,,1
107,,11,7,5,4562,0,1,104.30571429999999,1
108,,3,3,4,4562,0,1,,1
109,,0,0,5,4562,0,1,136.98,1
110,,4,0,5,4562,0,1,178.04,1
111,,0,0,5,4562,0,1,119.30666670000001,1
112,,10,10,5,4562,0,1,91.4975,1
113,,13,11,5,4563,0,1,95.87833333,1
114,,6,-2,5,4563,0,1,73.98888889,1
115,0.0,5,5,4,4563,0,1,109.44,1
116,,5,3,5,4563,0,1,97.84666667,1
117,,1,1,2,4563,0,1,136.98,1
118,,3,3,4,4563,0,1,89.03777778,1
119,,5,5,5,4563,0,1,105.65333329999999,1
120,,0,0,3,4563,0,1,106.11,1
121,1.0,14,10,5,4563,0,1,105.71333329999999,1
122,,1,1,4,4563,0,1,77.47111111,1
123,,0,0,5,4563,0,1,133.94,1
124,0.0,7,1,2,4563,0,1,97.86666667,1
125,,2,2,5,4563,0,1,105.62,1
126,0.666666667,38,38,4,4564,1,0,70.43354839,1
127,,3,3,5,4564,0,1,-354.76,1
128,,0,0,5,4564,0,1,101.76,1
129,,4,2,5,4564,0,0,102.0989474,1
130,,0,0,3,4564,0,1,99.57333333,1
131,0.0,16,16,3,4564,1,0,95.54531646,1
132,,0,0,5,4564,0,1,,1
133,,4,-2,5,4564,0,1,90.00666667,1
134,,6,6,5,4564,0,1,60.30666667,1
135,,2,2,5,4564,0,1,133.94,1
136,,3,3,5,4564,0,1,110.42,1
137,0.0,6,6,4,4564,0,1,112.30105259999998,1
138,1.0,2,2,5,4564,0,1,95.89333333,1
139,0.0,7,1,5,4565,0,0,84.11652174,1
140,,3,3,5,4565,0,1,178.04,1
141,,1,1,4,4565,0,1,136.98,1
142,,0,0,1,4565,0,1,,1
143,,2,2,3,4565,0,1,97.84666667,1
144,1.0,11,3,1,4565,0,1,117.60827590000001,1
145,,0,0,5,4565,0,1,77.47111111,1
146,,0,0,5,4565,0,1,93.86,1
147,,35,9,5,4565,1,0,103.42592590000001,1
148,0.0,2,2,5,4565,0,1,30.76,1
149,,0,0,5,4565,0,1,105.65333329999999,1
150,,0,0,5,4565,0,1,125.22,1
151,0.0,1,1,1,4565,0,1,112.69142859999998,1
152,,10,-2,5,4565,0,0,103.74,1
153,,6,6,5,4565,0,1,81.07,1
154,1.0,0,0,1,4565,0,1,183.92,1
155,1.0,0,0,3,4565,0,1,121.36666670000001,1
156,,0,0,5,4565,0,1,,1
