"","word","negative","positive"
"1","tired",0.00404813760460512,NA
"2","hang",0.00448186663366995,NA
"3","broken",0.00453005874801049,NA
"4","bulky",0.00453005874801049,NA
"5","negative",0.00453005874801049,NA
"6","break",0.00491559566273479,NA
"7","burned",0.0050601720057564,NA
"8","complaints",0.00534932469179962,NA
"9","wrong",0.00534932469179962,NA
"10","quieter",NA,0.00545927790586594
"11","burn",0.00549390103482123,NA
"12","shiny",NA,0.00553689797087825
"13","retract",0.0055902852635023,NA
"14","complaint",0.00602401429256714,NA
"15","issues",0.00602401429256714,NA
"16","pleased",NA,0.00605436507096033
"17","loves",NA,0.00618373184598085
"18","waste",0.0063613590929509,NA
"19","amazing",NA,0.00644246539602189
"20","burning",0.00660231966465358,NA
"21","soft",NA,0.00693405914109986
"22","damage",0.00693966446503734,NA
"23","difficult",0.00698785657937788,NA
"24","smooth",NA,0.00773613314622709
"25","smell",0.00775893040882648,NA
"26","warm",NA,0.00794311998625992
"27","noisy",0.00799989098052916,NA
"28","loved",NA,0.00807248676128044
"29","cheap",NA,0.00820185353630096
"30","issue",0.00828904366657238,NA
"31","faster",NA,0.00882281405639945
"32","strong",NA,0.00902980089643229
"33","super",NA,0.00902980089643229
"34","excellent",NA,0.0091074209614446
"35","compact",NA,0.0103493420016416
"36","noise",0.0104576888118966,NA
"37","disappointed",0.0119516443564532,NA
"38","bad",0.012288989156837,NA
"39","broke",0.0124335654998586,NA
"40","retractable",NA,0.0127296906620192
"41","died",0.0128191024145829,NA
"42","worth",NA,0.0128331840820356
"43","pretty",NA,0.0133506511821176
"44","perfect",NA,0.0145925722223146
"45","expensive",0.0147949791025449,NA
"46","quiet",NA,0.015187659387409
"47","happy",NA,0.015420519582446
"48","hard",0.015517860817653,NA
"49","cold",0.0161925504184205,NA
"50","fine",NA,0.0168953008176799
"51","cool",NA,0.0194308896080821
"52","loud",0.0196141905365986,NA
"53","fast",NA,0.0196378764481149
"54","powerful",NA,0.0243727004138659
"55","nice",NA,0.0247090540289193
"56","easy",NA,0.0248642941589439
"57","recommend",NA,0.0253041411940137
"58","hot",NA,0.037076517720881
"59","love",NA,0.0591982362493899
"60","blow",0.094842081022177,NA
