"","word","negative","positive"
"1","free",NA,0.00424790438392719
"2","refund",NA,0.00424790438392719
"3","satisfied",NA,0.00424790438392719
"4","loved",NA,0.00443259587888055
"5","complaint",0.00465483454588486,NA
"6","cracked",0.00465483454588486,NA
"7","junk",0.00465483454588486,NA
"8","super",NA,0.00480197886878726
"9","properly",NA,0.00498667036374061
"10","noisy",0.00507800132278348,NA
"11","disappointed",0.00528958471123279,NA
"12","smell",0.00528958471123279,NA
"13","broken",0.00550116809968211,NA
"14","limited",0.00550116809968211,NA
"15","negative",0.00550116809968211,NA
"16","cool",NA,0.00572543634355404
"17","quiet",NA,0.00591012783850739
"18","burned",0.00592433487658073,NA
"19","difficult",0.00592433487658073,NA
"20","wrong",0.00592433487658073,NA
"21","annoying",0.00613591826503004,NA
"22","poor",0.00677066843037798,NA
"23","warm",NA,0.00683358531327417
"24","complaints",0.00698225181882729,NA
"25","cheap",NA,0.00701827680822753
"26","compact",NA,0.00720296830318089
"27","damaged",0.00740541859572591,NA
"28","exhaust",0.00761700198417522,NA
"29","pleased",NA,0.00775704278804095
"30","noise",0.00825175214952316,NA
"31","excellent",NA,0.00831111727290102
"32","error",0.00846333553797247,NA
"33","fast",NA,0.00941926624262116
"34","hot",NA,0.0101580322224346
"35","failed",0.0103675860340163,NA
"36","worth",NA,0.0107121067072947
"37","powerful",NA,0.010896798202248
"38","broke",0.0110023361993642,NA
"39","expensive",0.0120602531416108,NA
"40","issues",0.0126950033069587,NA
"41","pretty",NA,0.0127437131517816
"42","frozen",0.0131181700838573,NA
"43","loud",0.0137529202492053,NA
"44","bad",0.0139645036376546,NA
"45","hard",0.0139645036376546,NA
"46","died",0.0160803375221477,NA
"47","vent",0.0160803375221477,NA
"48","clean",NA,0.016622234545802
"49","perfectly",NA,0.0168069260407554
"50","happy",NA,0.0171763090306621
"51","issue",0.0173498378528436,NA
"52","stainless",NA,0.0199466814549625
"53","recommend",NA,0.0221629793944027
"54","fine",NA,0.0249333518187031
"55","perfect",NA,0.0271496497581433
"56","top",NA,0.0277037242430034
"57","sharp",NA,0.0308434796572105
"58","love",NA,0.0315822456370239
"59","nice",NA,0.0330597775966507
"60","easy",NA,0.0434025013140387
