hair_rate1,hair_rate2,hair_rate3,hair_rate4,hair_rate5,hair_emtion,mic_rate1,mic_rate2,mic_rate3,mic_rate4,mic_rate5,mic_emtion,pac_rate1,pac_rate2,pac_rate3,pac_rate4,pac_rate5,pac_emtion
0,0,0,0,1,29,0,0,0,1,0,15,0,0,0,0,1,17
0,0,0,0,1,32,0,0,0,0.5,0.5,19,0,0,0,0.5,0.5,24
0,0,0.333333333,0,0.666666667,52,0,0,0,0.333333333,0.666666667,22,0,0,0,0.333333333,0.666666667,37
0,0,0.25,0,0.75,72,0,0,0,0.5,0.5,28,0,0,0,0.25,0.75,38
0,0,0.2,0,0.8,84,0.2,0,0,0.4,0.4,33,0,0,0,0.4,0.6,41
0,0,0.166666667,0.166666667,0.666666667,90,0.166666667,0,0,0.333333333,0.5,41,0,0,0,0.333333333,0.666666667,55
0,0,0.142857143,0.142857143,0.714285714,95,0.142857143,0,0.142857143,0.285714286,0.428571429,51,0,0,0.142857143,0.285714286,0.571428571,80
0,0,0.125,0.125,0.75,112,0.125,0,0.125,0.25,0.5,53,0,0,0.125,0.25,0.625,84
0,0,0.111111111,0.111111111,0.777777778,114,0.111111111,0,0.111111111,0.222222222,0.555555556,55,0,0,0.111111111,0.222222222,0.666666667,91
0,0,0.1,0.2,0.7,132,0.1,0,0.1,0.2,0.6,58,0,0,0.1,0.2,0.7,99
0,0,0.090909091,0.181818182,0.727272727,141,0.090909091,0,0.181818182,0.181818182,0.545454545,61,0,0,0.090909091,0.181818182,0.727272727,105
0,0,0.083333333,0.166666667,0.75,149,0.083333333,0,0.166666667,0.166666667,0.583333333,64,0,0,0.083333333,0.166666667,0.75,108
0,0,0.076923077,0.153846154,0.769230769,179,0.076923077,0,0.153846154,0.153846154,0.615384615,67,0,0,0.076923077,0.153846154,0.769230769,112
0,0,0.071428571,0.214285714,0.714285714,184,0.071428571,0,0.142857143,0.214285714,0.571428571,72,0,0,0.071428571,0.142857143,0.785714286,116
0,0,0.066666667,0.2,0.733333333,190,0.066666667,0,0.133333333,0.266666667,0.533333333,79,0,0,0.066666667,0.133333333,0.8,129
